80,Crispy Tofu Stir Fry with Thai Peanut Sauce,,"Preheat oven to 400 °F. Line tofu with paper towel or a kitchen towel and place on a plate. Place something heavy on top to drain water out of the tofu. Let sit for at least 10 minutes, or until the oven is heated.
Chop tofu into 1-inch cubes. Toss tofu with olive oil, salt and pepper and spread evenly on a baking sheet. Bake in the preheated oven for about 45 minutes, until crispy.
While tofu is in the oven, prepare vegetables. Roughly chop snap peas and bok choy. Add remaining 2 tablespoons olive oil to a large pan. Add vegetables and sauté for about 5-10 minutes, until soft and lightly charred. Set aside.
Bring a pot of water to a boil. Add brown rice noodles. Cook, stirring frequently, for about 5-6 minutes, until soft. Drain and set aside.
In a food processor or blender, combine soy sauce, peanut butter, maple syrup, water, apple cider vinegar and minced garlic. Blend until smooth.
Assemble stir fry: add brown rice noodles, crispy tofu and sautéed veggies to a bowl. Add peanut sauce and mix well to combine. Serve immediately.",
81,Green Jello Salad,,"Dissolve gelatin in boiling water.
Beat cream cheese until smooth. Gradually add gelatin to cream cheese, beat well. Add marshmallows.
Stir in cold water.
Chill until the consistency of unbeaten egg white. Fold in remaining ingredients.
Pour mixture into a shallow 6-cup mold, cover and chill.",
82,Russian Tea,,"Mix well, use 2 teaspoons to 1 cup boiling water",
83,Creamy Coconut Cashew Spaghetti Squash Alfredo,,"Preheat the oven to 400 °F.
Slice the spaghetti squash lengthwise and drizzle 1 tablespoon of oil all over the cut sides of the squash halves and sprinkle with salt and pepper. Place cut side up on a baking sheet and bake about 30 to 45 minutes, or until the squash is just tender enough to scrape into strands.
Add the cauliflower florets to another roasting pan or cookie sheet. Toss with the remaining 1 tablespoon olive oil, chili powder, salt and pepper. Roast for 25-30 minutes or until lightly charred and golden.
Meanwhile, make the coconut cream sauce. In a high powdered blender or food processor, combine the coconut milk, cashews. lemon juice, nutritional yeast, garlic, salt and pepper. Process until the sauce is completely smooth and creamy. Stir in the crushed red pepper, basil + parsley. Taste and adjust the seasonings to your liking.
Remove both the squash and cauliflower from the oven. Scrape the squash into strands and toss with the coconut sauce. Serve warm with regular parmesan, fresh herbs, or crushed red pepper.",
84,Vegan Black Bean Burger,,"Preheat oven to 375°F.
Wash the sweet potato and prick it with a fork. Microwave until cooked through, about 8 minutes, turning halfway through. Slice open and allow to cool until the steam dissipates and it is cool to the touch.
Place oats on cutting board and roughly chop with a knife to obtain a mixed texture. Thinly slice green onions. Drain and rinse the beans.
In a bowl, combine onions, oats, beans, sunflower seeds, salt, garlic powder, smoked paprika, soy sauce and wine. Mix with your hands and lightly mash the beans with your fingers. Add ½ cup sweet potato and mix to combine.
Line a baking sheet with parchment paper. Form into 4 patties and place on the baking sheet. Bake 20 minutes on one side, then flip and bake 20 minutes on the other side. Cool slightly before serving.",
85,New England Chowder,,"Fry pork until brown. Add onions, add potatoes, season to taste. Cover with boiling water. Simmer until vegetables are tender. Add any additional ingredients. Add milk. Heat to boiling. Blend flour and butter into a slurry and add the slurry. Cook 5 minutes
Additional ingredients can be baked fish, small clams, corn, diced tomato, or parsnips.",
86,Spinach Tomato Linguine,,"Cook linguine according to package directions. Meanwhile, in a large, nonstick skillet, saute the tomatoes, spinach, and onion until tomatoes are softened. Sprinkle with salt, pepper, and garlic salt. Reduce hear. Stir in cheese, until heated through.
Drain linguine, add to sauce.",
87,Blueberry Muffin,,"Preheat oven to 350°F.
Mix all ingredients except blueberries until moist.
Add blueberries.
Bake in muffin tin for 25-30 minutes.
Sprinkle with sugar.",
88,"Roasted Chicken, Onion & Rosemary Pizza",,"Preheat oven to 425°F.
Cook onion and garlic in olive oil until soft.
Remove onion and garlic from heat and combine the chicken with the remaining ingredients. 
Place chicken mixture on prepared pizza crust.
Bake 10-12 minutes or until browned and warm.",
89,Banana Chocolate Chip Muffins,,"Preheat oven to 375°F.
Mix sugar and eggs together. Then mix in sugar, and then butter.
Mix dry ingredient together and add mix into wet batter.
Fold in bananas and then chocolate chips.
Put in mini or regular sized cupcake tins.
Bake for 20 minutes.",
90,Honey Garlic Pork Chops,,"Cut orange in half. Juice the orange for about 3 tablespoons of orange juice. Zest for about 1.5 teaspoons of orange zest. 
Mix garlic, soy sauce, honey, ginger root, orange zest and orange juice in bowl.
Place tenderloins in large plastic zipper bag and pour marinade into bag. Marinate in refrigerator for around 12 hours.
Sray oven-safe pan with non stick cooking spray. 
Place marinated tenderloins on pan and place in oven. 
Roast at 425°F for 25-30 minutes or until internal temperature is 155-160°F.
Let stand 5 minutes. Slice tenderloin to serve.",
91,Mustard Crusted Pork Chops,,"Preheat oven to 375°F.
Spray oven-safe pan with non stick cooking spray. 
Brush chops lightly with 2 tablespoons mustard.
In a bowl, combine remaining mustard with remaining ingredients.
Coat top and sides of chops with crumb mixture.
Place pork chops in pan.
Roast at 375°F for 20 minutes or until internal temperature is 160°F and crumb coating is brown.
Let stand 5 minutes. Slice tenderloin to serve.",
92,Broiled Beef Kabobs,,"Except for the beef, bell peppers, and mushrooms, combine all ingredients in a bowl. Then add the remaining ingredients, toss to coat.
Thread meat and vegetables alternately on metal or soaked wooden skewers.
Broil 3 inches from the heat, turning often, until meat reaches desired doneness and vegetables are tender. Will take about 12-16 minutes.",
93,Cheesy Potatoes,,"Cook unpeeled potatoes in boiling water; let cool.
Peel and shred potatoes coarsely.
In saucepan over low heat, combine cheese and .25 cups of butter.
Stir occasionally until almost melted.
Remove from heat and blend in sour cream, onion, salt and peper.
Fold in potatoes and turn into greased casserole dish.
Dot with butter and sprinkle with paprika.
Bake uncovered at 350°F for 30-40 minutes.",
94,Cheddar Biscuits,,"Preheat oven to 450°F. 
In a bowl, mix baking mix, water, and grated cheese until thoroughly moistened.
Drop by spoonful onto a greased baking sheet.
Combine butter with parsley flakes, garlic powder and italian seasoning, then brush mixture onto biscuit dough.
Bake for 8-10 minutes or until lightly browned.",
95,Lemon Bread,,"Preheat oven to 350°F.
Combine shortening, sugar, eggs, milk, lemon zest, flour, salt, baking powder and nuts.
Pour into a greased loaf pan. 
Bake for 40 minutes.
Meanwhile, mix sugar and lemon juice.
When bread is done, poke holes in hot bread with a fork and pour sugar and lemon mixture over bread.
Cool bread in the pan then remove and store until ready to eat.",
96,Corn Muffins,,"In a bowl, mix butter, sugar, and eggs.
Add corn meal, flour, salt, and baking powder; combine well.
Gradually add milk, lemon juice, and baking soda.
Pour into greased muffin pan. 
Bake at 350°F for 15-18 minutes.",
97,Garbanzo Bean Salad,,"In a medium bowl, combine chickpeas, tomatoes, peppers, onions, olives, parsley, and oregano.
In a small bowl, whisk together lemon juice, olive oil, vinegar, salt and pepper.
Pour over chickpeas and stir.
Allow to marinate for about 2 hours.",
98,Marinated Tomato Cucumber Salad,,"Whisk oil, vinegar, and garlic in a medium size bowl.
Add remaining ingredients.",
99,Mushroom and Tomato Salad,,"In a large bowl, whisk together the sour cream, lemon juice, garlic, dill, salt and pepper until smooth. 
Stir in mushrooms and tomatoes.
Cover and refrigerate until ready to serve.",
100,Pumpkin Pancakes,,"Mix milk, oil, eggs and pumpkin in a mixing bowl; set aside.
Combine flour, salt, sugar, and baking powder. Add to milk mixture.
Mix only until smooth.
On a hot griddle with a small amount of oil, pour pancake batter, making about a 4-inch pancake.
Flip pancake when bottom of pancake is golden brown. 
Serve hot with butter and syrup or jam.",
